"","species"
"1","Amegilla magnilabris"
"2","Amegilla talaris"
"3","Andrena abjecta"
"4","Andrena acerae"
"5","Andrena acutidentis"
"6","Andrena agnata"
"7","Andrena albohirta"
"8","Andrena aruana"
"9","Andrena baetica"
"10","Andrena bayona"
"11","Andrena bytinskii"
"12","Andrena cannabina"
"13","Andrena cedricola"
"14","Andrena cilissaeformis"
"15","Andrena curtivalvis"
"16","Andrena dorchini"
"17","Andrena euphorbiae"
"18","Andrena fertoni"
"19","Andrena foeniculae"
"20","Andrena fratella"
"21","Andrena gageae"
"22","Andrena guttata"
"23","Andrena heliaca"
"24","Andrena henotica"
"25","Andrena jakowlewi"
"26","Andrena judaea"
"27","Andrena lavandulae"
"28","Andrena lusitania"
"29","Andrena medeninensis"
"30","Andrena melacana"
"31","Andrena melaleuca"
"32","Andrena mica"
"33","Andrena monilia"
"34","Andrena nigropilosa"
"35",""
"36","Andrena ornithogalumae"
"37","Andrena otoolei"
"38",""
"39","Andrena poupillieri"
"40","Andrena prazi"
"41",""
"42","Andrena rhypara"
"43","Andrena sandanskia"
"44","Andrena savigyni"
"45","Andrena selena"
"46",""
"47",""
"48","Andrena succinea"
"49","Andrena tadorna"
"50","Andrena tebessana"
"51","Andrena tenebricorpus"
"52","Andrena testaceipes"
"53","Andrena tinctoria"
"54","Andrena totana"
"55","Andrena vaulogeri"
"56","Andrena veturia"
"57",""
"58",""
"59","Anthophora gallica"
"60","Bombus alagesianus"
"61","Bombus bisiculus"
"62","Bombus mocsaryi"
"63",""
"64",""
"65","Bombus portschinskyi"
"66","Bombus pyrenaeus"
"67","Bombus saltarius"
"68","Bombus sulfureus"
"69",""
"70","Camptopoeum nevegense"
"71",""
"72","Clavipanurgus anatolicus"
"73","Colletes dinizi"
"74","Eucera cinctella"
"75","Eucera dentata"
"76","Eucera fulvescens"
"77","Eucera iberica"
"78","Eucera julliani"
"79","Eucera nana"
"80","Eucera strigata"
"81","Flavipanugus granadensis"
"82","Flavipanurgus fuzetus"
"83","Flavipanurgus granadensis"
"84","Halictus eurygnathus"
"85","Halopanurgus baldocki"
"86","Lasioglossum cattalae"
"87","Lasioglossum discum"
"88","Lasioglossum heterognathum"
"89","Lasioglossum leucocomum"
"90","Lasioglossum limbellum"
"91","Lasioglossum zephyrum"
"92","Megachile pyreneica"
"93","Melissodes druriellius"
"94","Nomiapis bispinosa"
"95","Nomiapis diversipes"
"96","Nomiapis paulyi"
"97","Nomiapis rufiventris"
"98","Osmia iberica"
"99","Perdita octomaculatus"
"100","Protosmia exenerata"
"101","Pseudopanurgus aestivalis"
"102","Pseudopanurgus andrenoides"
