,species
1,Andrena caesia
2,Andrena corax
3,Andrena discors
4,Andrena doursana
5,Andrena flavilabris
6,Andrena hedikae
7,Andrena juliana
8,Andrena orana
9,Andrena panurgina
10,Andrena venerabilis
11,Flavipanurgus venustus
12,Panurgus calceatus
13,Bombus handlirschianus
14,Eucera cypria
15,Eucera spectabilis
16,Actenosigynes mantiqueirensis
17,Colletes acutiformis
18,Colletes anchusae
19,Colletes escalerai
20,Colletes graeffei
21,Colletes meyeri
22,Colletes pulchellus
23,Colletes schmidi
24,Colletes wolfi
25,Lasioglossum immunitum
26,Afranthidium pusillum
27,Anthidium auritum
28,Chelostoma carinulum
29,Chelostoma edentulum
30,Chelostoma garrulum
31,Chelostoma nasutum
32,Chelostoma styriacum
33,Haetosmia vechti
34,Hofferia mauritanica
35,Hoplitis christae
36,Hoplitis hartliebi
37,Hoplitis hierichonica
38,Hoplitis illustris
39,Hoplitis marchali
40,Hoplitis monstrabilis
41,Hoplitis mucida
42,Hoplitis nisa
43,Hoplitis parana
44,Hoplitis tigrina
45,Hoplitis zonalis
46,Icteranthidium cimbiciforme
47,Icteranthidium limbiferum
48,Osmia glareola
49,Osmia maxillaris
50,Rhodanthidium aculeatum
51,Rhodanthidium superbum
52,Stenoheriades eingeddica
53,Dasypoda albimana
54,Dasypoda pyriformis
55,Dasypoda pyrotrichia
