"","species","count"
"1","Agapostemon sericeus",3271
"2","Agapostemon virescens",23574
"3","Amegilla albigena",586
"4","Andrena aegyptiaca",40
"5","Andrena aeneiventris",108
"6","Andrena aerinifrons",14
"7","Andrena afrensis",102
"8","Andrena afzeliella",555
"9","Andrena agilissima",906
"10","Andrena albopunctata",118
"11","Andrena alfkenella",533
"12","Andrena algida",346
"13","Andrena alleghaniensis",626
"14","Andrena ampla",439
"15","Andrena andrenoides",838
"16","Andrena angustior",1405
"17","Andrena anthrisci",48
"18","Andrena antigana",32
"19","Andrena apicata",764
"20","Andrena arabis",915
"21","Andrena argentata",1925
"22","Andrena asperrima",35
"23","Andrena assimilis",16
"24","Andrena barbilabris",10343
"25","Andrena bicolor",17616
"26","Andrena bicolorata",42
"27","Andrena bimaculata",846
"28","Andrena bisalicis",722
"29","Andrena biskrensis",23
"30","Andrena blanda",6
"31","Andrena boyerella",7
"32","Andrena bradleyi",737
"33","Andrena brevipalpis",687
"34","Andrena bucephala",632
"35","Andrena canadensis",581
"36","Andrena carlini",9710
"37","Andrena ceanothi",453
"38","Andrena chrysosceles",5768
"39","Andrena cineraria",20613
"40","Andrena cinerea",112
"41","Andrena clarkella",12607
"42","Andrena colletiformis",71
"43","Andrena commoda",1134
"44","Andrena crataegi",6493
"45","Andrena cressonii",4396
"46","Andrena decipiens",107
"47","Andrena denticulata",6460
"48","Andrena djelfensis",9
"49","Andrena dorsata",7997
"50","Andrena elata",13
"51","Andrena erigeniae",7834
"52","Andrena erythrogaster",1672
"53","Andrena fabrella",72
"54","Andrena farinosa",6
"55","Andrena ferrugineicrus",47
"56","Andrena flavipes",27309
"57","Andrena florea",3341
"58","Andrena florentina",6
"59","Andrena forbesii",2327
"60","Andrena frigida",1542
"61","Andrena fucata",5725
"62","Andrena fulica",13
"63","Andrena fulva",26483
"64","Andrena fulvicornis",66
"65","Andrena funerea",32
"66","Andrena fuscosa",120
"67","Andrena gravida",4447
"68","Andrena haemorrhoa",44023
"69","Andrena helianthi",1112
"70","Andrena helvola",7119
"71","Andrena hippotes",1994
"72","Andrena hirticincta",2310
"73","Andrena hypopolia",109
"74","Andrena illinoiensis",2141
"75","Andrena imitatrix",3838
"76","Andrena integra",249
"77","Andrena isis",14
"78","Andrena labialis",1402
"79","Andrena labiata",3134
"80","Andrena lagopus",633
"81","Andrena leptopyga",4
"82","Andrena leucolippa",160
"83","Andrena limata",234
"84","Andrena longibarbis",37
"85","Andrena mandibularis",648
"86","Andrena marginata",3291
"87","Andrena melittoides",4
"88","Andrena minapalumboi",3
"89","Andrena minutula",13154
"90","Andrena minutuloides",3697
"91","Andrena miranda",615
"92","Andrena miserabilis",6980
"93","Andrena morio",239
"94","Andrena mucida",28
"95","Andrena nana",310
"96","Andrena nasonii",6265
"97","Andrena nigriceps",1288
"98","Andrena nigrihirta",823
"99","Andrena nigroaenea",11711
"100","Andrena nigroviridula",4
"101","Andrena nitida",10312
"102","Andrena nitidula",42
"103","Andrena nivalis",1493
"104","Andrena niveata",128
"105","Andrena nubecula",1643
"106","Andrena nuda",984
"107","Andrena numida",16
"108","Andrena omnilaevis",6
"109","Andrena orbitalis",108
"110","Andrena ovatula",5559
"111","Andrena oviventris",35
"112","Andrena pandellei",591
"113","Andrena pandosa",8
"114","Andrena pauxilla",7
"115","Andrena perplexa",3674
"116","Andrena pilipes",953
"117","Andrena placata",593
"118","Andrena platyparia",422
"119","Andrena praecox",6872
"120","Andrena propinqua",767
"121","Andrena ranunculorum",53
"122","Andrena rhenana",109
"123","Andrena rhyssonota",40
"124","Andrena robertsonii",780
"125","Andrena rudbeckiae",559
"126","Andrena rufosignata",766
"127","Andrena rugosa",1962
"128","Andrena rugothorace",7
"129","Andrena salictaria",501
"130","Andrena scotica",7856
"131","Andrena semilaevis",3436
"132","Andrena senecionis",79
"133","Andrena sigmundi",511
"134","Andrena spiraeana",678
"135","Andrena spolata",31
"136","Andrena spreta",89
"137","Andrena subopaca",10572
"138","Andrena synadelpha",339
"139","Andrena tenuistriata",97
"140","Andrena thaspii",934
"141","Andrena thoracica",1283
"142","Andrena tibialis",3110
"143","Andrena tridens",717
"144","Andrena trimmerana",4424
"145","Andrena truncatilabris",11
"146","Andrena tuberculifera",22
"147","Andrena variabilis",116
"148","Andrena varians",607
"149","Andrena ventricosa",29
"150","Andrena verticalis",125
"151","Andrena vetula",45
"152","Andrena vicina",4780
"153","Andrena virginiana",380
"154","Andrena vulpecula",58
"155","Andrena w-scripta",1832
"156","Andrena wellesleyana",187
"157","Andrena wilkella",12103
"158","Andrena ziziae",1511
"159","Anthophora aestivalis",1567
"160","Anthophora atriceps",58
"161","Anthophora bimaculata",1780
"162","Anthophora femorata",34
"163","Anthophora retusa",3017
"164","Anthophora terminalis",4193
"165","Augochlora pura",18202
"166","Augochlorella aurata",37260
"167","Augochloropsis metallica",4180
"168","Bombus affinis",10076
"169","Bombus alpinus",1496
"170","Bombus argillaceus",1179
"171","Bombus armeniacus",45
"172","Bombus auricomus",9416
"173","Bombus balteatus",4118
"174","Bombus bimaculatus",42308
"175","Bombus borealis",7043
"176","Bombus brodmannicus",9
"177","Bombus confusus",506
"178","Bombus cullumanus",126
"179","Bombus distinguendus",4387
"180","Bombus fervidus",22730
"181","Bombus fragrans",52
"182","Bombus frigidus",7393
"183","Bombus griseocollis",61793
"184","Bombus haematurus",284
"185","Bombus hortorum",59875
"186","Bombus hypnorum",169601
"187","Bombus impatiens",143207
"188","Bombus incertus",8
"189","Bombus lapidarius",166823
"190","Bombus lapponicus",4556
"191","Bombus lucorum",87064
"192","Bombus melanurus",48
"193","Bombus mendax",1265
"194","Bombus mesomelas",1943
"195","Bombus monticola",6780
"196","Bombus mucidus",992
"197","Bombus muscorum",8574
"198","Bombus niveatus",82
"199","Bombus pascuorum",307511
"200","Bombus pensylvanicus",48277
"201","Bombus perplexus",13468
"202","Bombus pomorum",647
"203","Bombus ruderarius",10604
"204","Bombus ruderatus",3754
"205","Bombus sichelii",2960
"206","Bombus soroeensis",19049
"207","Bombus sporadicus",2576
"208","Bombus subterraneus",4994
"209","Bombus sylvarum",16198
"210","Bombus ternarius",27150
"211","Bombus terrestris",190780
"212","Bombus terricola",21825
"213","Bombus vagans",22807
"214","Bombus veteranus",4414
"215","Bombus wurflenii",7767
"216","Bombus zonatus",119
"217","Camptopoeum friesei",132
"218","Camptopoeum frontale",126
"219","Camptopoeum sacrum",4
"220","Ceratina calcarata",14476
"221","Ceratina chalcites",95
"222","Ceratina dupla",6687
"223","Ceratina mikmaqi",4024
"224","Clavipanurgus punctiventris",21
"225","Clavipanurgus sculpturatus",16
"226","Colletes acutus",13
"227","Colletes americanus",828
"228","Colletes compactus",1206
"229","Colletes consors",445
"230","Colletes hyalinus",753
"231","Colletes inaequalis",5291
"232","Colletes kincaidii",8155
"233","Colletes simulans",1938
"234","Colletes thoracicus",1642
"235","Colletes validus",392
"236","Dufourea monardae",181
"237","Eucera alternans",6
"238","Eucera caspica",30
"239","Eucera clypeata",63
"240","Eucera collaris",27
"241","Eucera decolorata",4
"242","Eucera elongatula",24
"243","Eucera eucnemidea",10
"244","Eucera furfurea",12
"245","Eucera interrupta",285
"246","Eucera longicornis",7664
"247","Eucera nigrescens",3543
"248","Eucera nigrifacies",50
"249","Eucera nigrilabris",106
"250","Eucera notata",17
"251","Eucera taurica",45
"252","Flavipanurgus kastiliensis",7
"253","Halictus confusus",15111
"254","Halictus crenicornis",13
"255","Halictus ligatus",44196
"256","Halictus maculatus",3022
"257","Halictus pollinosus",83
"258","Halictus quadricinctus",1391
"259","Halictus rubicundus",28745
"260","Halictus scabiosae",14952
"261","Halictus subauratus",3242
"262","Halictus tumulorum",26505
"263","Heriades carinata",3092
"264","Hoplitis pilosifrons",1853
"265","Hoplitis producta",2461
"266","Lasioglossum acuminatum",940
"267","Lasioglossum albipes",16432
"268","Lasioglossum albocinctum",161
"269","Lasioglossum anomalum",609
"270","Lasioglossum bimaculatum",23
"271","Lasioglossum brevicorne",618
"272","Lasioglossum calceatum",31796
"273","Lasioglossum cattellae",219
"274","Lasioglossum cinctipes",1259
"275","Lasioglossum convexiusculum",131
"276","Lasioglossum coriaceum",4670
"277","Lasioglossum corvinum",14
"278","Lasioglossum cressonii",7897
"279","Lasioglossum foxii",1209
"280","Lasioglossum fulvicorne",13225
"281","Lasioglossum hitchensi",7152
"282","Lasioglossum imitatum",9535
"283","Lasioglossum interruptum",1148
"284","Lasioglossum laevigatum",2872
"285","Lasioglossum laevissimum",1684
"286","Lasioglossum laticeps",13131
"287","Lasioglossum lativentre",2824
"288","Lasioglossum leucopus",16272
"289","Lasioglossum leucozonium",17030
"290","Lasioglossum lineatulum",1731
"291","Lasioglossum lustrans",429
"292","Lasioglossum macoupinense",450
"293","Lasioglossum malachurum",11314
"294","Lasioglossum mandibulare",34
"295","Lasioglossum mediterraneum",23
"296","Lasioglossum morio",30501
"297","Lasioglossum nigripes",1470
"298","Lasioglossum nigroviride",526
"299","Lasioglossum nitidulum",5716
"300","Lasioglossum paradmirandum",348
"301","Lasioglossum paraforbesii",645
"302","Lasioglossum parvulum",2579
"303","Lasioglossum pauperatum",129
"304","Lasioglossum pauxillum",13733
"305","Lasioglossum pectorale",4048
"306","Lasioglossum perpunctatum",497
"307","Lasioglossum pilosum",12431
"308","Lasioglossum politum",4164
"309","Lasioglossum prasinum",346
"310","Lasioglossum punctatissimum",4525
"311","Lasioglossum puncticolle",530
"312","Lasioglossum quebecense",2591
"313","Lasioglossum sexnotatum",4036
"314","Lasioglossum subhirtum",142
"315","Lasioglossum subviridatum",1621
"316","Lasioglossum versans",1513
"317","Lasioglossum versatum",11759
"318","Lasioglossum villosulum",11330
"319","Lasioglossum virens",8
"320","Lasioglossum xanthopus",1146
"321","Lasioglossum zonulum",11750
"322","Megachile campanulae",1590
"323","Megachile centuncularis",7242
"324","Megachile gemula",1207
"325","Megachile inermis",2987
"326","Megachile latimanus",3021
"327","Megachile maritima",1869
"328","Megachile mendica",5989
"329","Megachile pilidens",1652
"330","Megachile pugnata",2284
"331","Megachile relativa",2755
"332","Megachile willughbiella",11199
"333","Melissodes agilis",4173
"334","Melissodes bimaculatus",11974
"335","Melissodes denticulatus",1395
"336","Melissodes desponsus",2673
"337","Melissodes druriellus",2254
"338","Melissodes illatus",323
"339","Melissodes subillatus",372
"340","Melitturga caudata",28
"341","Osmia atriventris",2094
"342","Osmia bicolor",7042
"343","Osmia bucephala",2019
"344","Osmia conjuncta",482
"345","Osmia pumila",5810
"346","Panurginus albopilosus",10
"347","Panurgus canescens",13
"348","Panurgus cephalotes",9
"349","Panurgus maroccanus",86
"350","Panurgus perezi",5
"351","Perdita octomaculata",1235
"352","Trachusa byssina",5427
"353","Xylocopa virginica",51392
